time 0, 1 running, numprocesses=1, numholes=1, memusage=11%
time 2, 2 running, numprocesses=2, numholes=1, memusage=41%
time 4, 3 running, numprocesses=3, numholes=1, memusage=41%
time 6, 4 running, numprocesses=4, numholes=1, memusage=66%
time 8, 5 running, numprocesses=5, numholes=1, memusage=86%
time 10, 6 running, numprocesses=3, numholes=2, memusage=48%
time 12, 7 running, numprocesses=3, numholes=2, memusage=51%
time 14, 8 running, numprocesses=4, numholes=2, memusage=61%
time 16, 9 running, numprocesses=1, numholes=1, memusage=68%
time 18, 10 running, numprocesses=1, numholes=1, memusage=60%
time 20, 11 running, numprocesses=1, numholes=1, memusage=74%
time 22, 12 running, numprocesses=1, numholes=1, memusage=71%
time 24, 13 running, numprocesses=1, numholes=1, memusage=67%
time 26, 14 running, numprocesses=2, numholes=1, memusage=71%
time 28, 15 running, numprocesses=2, numholes=2, memusage=56%
time 30, 16 running, numprocesses=3, numholes=2, memusage=62%
time 32, 17 running, numprocesses=4, numholes=2, memusage=87%
time 34, 18 running, numprocesses=1, numholes=1, memusage=74%
time 36, 19 running, numprocesses=1, numholes=1, memusage=48%
time 38, 1 running, numprocesses=2, numholes=1, memusage=59%
time 42, 2 running, numprocesses=3, numholes=1, memusage=89%
time 46, 3 running, numprocesses=4, numholes=1, memusage=89%
time 50, 4 running, numprocesses=4, numholes=2, memusage=66%
time 54, 5 running, numprocesses=5, numholes=2, memusage=86%
time 58, 6 running, numprocesses=3, numholes=3, memusage=48%
time 62, 7 running, numprocesses=3, numholes=3, memusage=51%
time 66, 8 running, numprocesses=4, numholes=3, memusage=61%
time 70, 9 running, numprocesses=2, numholes=2, memusage=68%
time 74, 10 running, numprocesses=2, numholes=2, memusage=60%
time 78, 11 running, numprocesses=2, numholes=2, memusage=74%
time 82, 12 running, numprocesses=2, numholes=2, memusage=72%
time 86, 13 running, numprocesses=2, numholes=2, memusage=68%
time 90, 14 running, numprocesses=3, numholes=2, memusage=71%
time 94, 15 running, numprocesses=3, numholes=3, memusage=56%
time 98, 16 running, numprocesses=4, numholes=3, memusage=62%
time 102, 17 running, numprocesses=4, numholes=4, memusage=35%
time 106, 18 running, numprocesses=2, numholes=2, memusage=74%
time 110, 19 running, numprocesses=2, numholes=2, memusage=48%
time 114, 1 running, numprocesses=3, numholes=2, memusage=59%
time 122, 2 running, numprocesses=4, numholes=1, memusage=89%
time 130, 3 running, numprocesses=4, numholes=1, memusage=89%
time 138, 4 running, numprocesses=4, numholes=2, memusage=66%
time 146, 5 running, numprocesses=5, numholes=2, memusage=86%
time 154, 6 running, numprocesses=3, numholes=3, memusage=48%
time 162, 7 running, numprocesses=3, numholes=3, memusage=51%
time 170, 8 running, numprocesses=4, numholes=3, memusage=61%
time 178, 9 running, numprocesses=2, numholes=2, memusage=68%
time 186, 10 running, numprocesses=2, numholes=2, memusage=60%
time 194, 11 running, numprocesses=2, numholes=2, memusage=74%
time 202, 12 running, numprocesses=2, numholes=2, memusage=72%
time 210, 13 running, numprocesses=2, numholes=2, memusage=68%
time 218, 14 running, numprocesses=3, numholes=2, memusage=71%
time 226, 15 running, numprocesses=3, numholes=3, memusage=56%
time 234, 16 running, numprocesses=4, numholes=3, memusage=62%
time 242, 17 running, numprocesses=4, numholes=4, memusage=35%
time 250, 18 running, numprocesses=2, numholes=2, memusage=74%
time 258, 19 running, numprocesses=2, numholes=2, memusage=48%
time 266, 1 running, numprocesses=3, numholes=2, memusage=59%
time 267, 2 running, numprocesses=3, numholes=2, memusage=78%
time 268, 3 running, numprocesses=2, numholes=2, memusage=48%
time 269, 4 running, numprocesses=2, numholes=1, memusage=73%
time 270, 5 running, numprocesses=2, numholes=1, memusage=68%
time 271, 6 running, numprocesses=2, numholes=1, memusage=85%
time 272, 7 running, numprocesses=2, numholes=1, memusage=88%
time 273, 8 running, numprocesses=2, numholes=1, memusage=58%
time 274, 9 running, numprocesses=1, numholes=1, memusage=68%
time 275, 10 running, numprocesses=1, numholes=1, memusage=60%
time 276, 11 running, numprocesses=1, numholes=1, memusage=74%
time 277, 12 running, numprocesses=1, numholes=1, memusage=71%
time 278, 13 running, numprocesses=1, numholes=1, memusage=67%
time 279, 14 running, numprocesses=1, numholes=1, memusage=3%
time 280, 15 running, numprocesses=1, numholes=1, memusage=52%
time 281, 16 running, numprocesses=1, numholes=1, memusage=6%
time 282, 17 running, numprocesses=1, numholes=1, memusage=25%
time 283, 18 running, numprocesses=1, numholes=1, memusage=74%
time 284, 19 running, numprocesses=1, numholes=1, memusage=48%
time 285, simulation finished.
