time 0, 2 running, numprocesses=1, numholes=1, memusage=71%
time 2, 2 running, numprocesses=1, numholes=1, memusage=71%
time 6, 2 running, numprocesses=1, numholes=1, memusage=71%
time 12, 6 running, numprocesses=1, numholes=1, memusage=37%
time 14, 3 running, numprocesses=1, numholes=1, memusage=94%
time 16, 6 running, numprocesses=1, numholes=1, memusage=37%
time 20, 10 running, numprocesses=2, numholes=0, memusage=100%
time 22, 3 running, numprocesses=1, numholes=1, memusage=94%
time 26, 1 running, numprocesses=1, numholes=1, memusage=33%
time 28, 10 running, numprocesses=2, numholes=1, memusage=96%
time 32, 1 running, numprocesses=2, numholes=1, memusage=96%
time 36, 8 running, numprocesses=2, numholes=1, memusage=48%
time 38, 8 running, numprocesses=2, numholes=1, memusage=48%
time 42, 6 running, numprocesses=3, numholes=1, memusage=85%
time 45, 3 running, numprocesses=1, numholes=1, memusage=94%
time 53, 7 running, numprocesses=1, numholes=1, memusage=71%
time 55, 4 running, numprocesses=2, numholes=1, memusage=81%
time 57, 7 running, numprocesses=2, numholes=1, memusage=81%
time 61, 9 running, numprocesses=1, numholes=1, memusage=93%
time 63, 4 running, numprocesses=1, numholes=1, memusage=10%
time 67, 9 running, numprocesses=1, numholes=1, memusage=93%
time 71, 5 running, numprocesses=1, numholes=1, memusage=76%
time 73, 5 running, numprocesses=1, numholes=1, memusage=76%
time 77, 10 running, numprocesses=1, numholes=1, memusage=63%
time 85, 1 running, numprocesses=2, numholes=1, memusage=96%
time 93, 8 running, numprocesses=2, numholes=2, memusage=48%
time 101, 3 running, numprocesses=1, numholes=1, memusage=94%
time 109, 7 running, numprocesses=1, numholes=1, memusage=71%
time 117, 4 running, numprocesses=2, numholes=1, memusage=81%
time 125, 9 running, numprocesses=1, numholes=1, memusage=93%
time 133, 5 running, numprocesses=1, numholes=1, memusage=76%
time 141, 10 running, numprocesses=1, numholes=1, memusage=63%
time 149, 1 running, numprocesses=2, numholes=1, memusage=96%
time 157, 8 running, numprocesses=2, numholes=2, memusage=48%
time 165, 3 running, numprocesses=1, numholes=1, memusage=94%
time 166, 7 running, numprocesses=1, numholes=1, memusage=71%
time 174, 4 running, numprocesses=2, numholes=1, memusage=81%
time 182, 9 running, numprocesses=1, numholes=1, memusage=93%
time 189, 5 running, numprocesses=1, numholes=1, memusage=76%
time 192, 10 running, numprocesses=1, numholes=1, memusage=63%
time 200, 1 running, numprocesses=2, numholes=1, memusage=96%
time 208, 8 running, numprocesses=2, numholes=2, memusage=48%
time 211, 7 running, numprocesses=1, numholes=1, memusage=71%
time 219, 4 running, numprocesses=2, numholes=1, memusage=81%
time 226, 10 running, numprocesses=1, numholes=1, memusage=63%
time 232, 1 running, numprocesses=1, numholes=1, memusage=33%
time 238, 7 running, numprocesses=1, numholes=1, memusage=71%
time 241, simulation finished.
